고유번호,법정동코드,공시지가,원천시도시군구코드
4413110400102830000,4413110400,555700,44130
4413110400102890000,4413110400,478700,44130
4413110400103210000,4413110400,775300,44130
4413110400103230000,4413110400,1018000,44130
4413110500100020000,4413110500,660200,44130
4413110500100070000,4413110500,1460000,44130
4413110500100110000,4413110500,635600,44130
4413110500100240000,4413110500,748200,44130
4413110500100320000,4413110500,1803000,44130
4413110500100510000,4413110500,578500,44130
4413110500100510000,4413110500,1341000,44130
4413110500100530000,4413110500,835000,44130
4413110500100530000,4413110500,1211000,44130
4413110500100550000,4413110500,652400,44130
4413110500100650000,4413110500,897200,44130
4413110500100670000,4413110500,1176000,44130
4413110500100700000,4413110500,563300,44130
4413110500100760000,4413110500,822800,44130
4413110500100770000,4413110500,768600,44130
4413110500100780000,4413110500,508700,44130
4413110500100900000,4413110500,1366000,44130
4413110500100920000,4413110500,1074000,44130
4413110500100940000,4413110500,552200,44130
4413110500100940000,4413110500,1278000,44130
4413110500100960000,4413110500,1482000,44130
4413110500101090000,4413110500,535200,44130
4413110500101090000,4413110500,677100,44130
4413110500101200000,4413110500,1013000,44130
4413110500101270000,4413110500,690200,44130
4413110500101330000,4413110500,1148000,44130
4413110500101340000,4413110500,695600,44130
4413110500101540000,4413110500,733000,44130
4413110500101580000,4413110500,1067000,44130
4413110500101730000,4413110500,578700,44130
4413110600100320000,4413110600,963100,44130
4413110600100390000,4413110600,2494000,44130
4413110600100440000,4413110600,679900,44130
4413110600100520000,4413110600,1570000,44130
4413110600100530000,4413110600,948400,44130
4413110600100560000,4413110600,1332000,44130
4413110600100630000,4413110600,1412000,44130
4413110600100650000,4413110600,686800,44130
4413110600100810000,4413110600,904600,44130
4413110600101100000,4413110600,1498000,44130
4413110600101270000,4413110600,980900,44130
4413110600101320000,4413110600,668500,44130
4413110600101370000,4413110600,875600,44130
4413110600101410000,4413110600,907400,44130
4413110600101560000,4413110600,1503000,44130
4413110600101890000,4413110600,1327000,44130
4413110600101910000,4413110600,606900,44130
4413110700100010000,4413110700,220100,44130
4413110700100020000,4413110700,359900,44130
4413110700100030000,4413110700,272400,44130
4413110700100090000,4413110700,250200,44130
4413110700100090000,4413110700,351300,44130
4413110700100110000,4413110700,872900,44130
4413110700100110000,4413110700,526800,44130
4413110700100110000,4413110700,474400,44130
4413110700100110000,4413110700,476300,44130
4413110700100310000,4413110700,323800,44130
4413110700100380000,4413110700,155800,44130
4413110700100380000,4413110700,451900,44130
4413110700100440000,4413110700,345500,44130
4413110700100510000,4413110700,262300,44130
4413110700100510000,4413110700,431800,44130
4413110700100620000,4413110700,537900,44130
4413110700100680000,4413110700,153300,44130
4413110700101250000,4413110700,640300,44130
4413110700101250000,4413110700,597500,44130
4413110700101250000,4413110700,828800,44130
4413110700101330000,4413110700,1220000,44130
4413110700101340000,4413110700,1170000,44130
4413110700101380000,4413110700,602200,44130
4413110700101950000,4413110700,842900,44130
4413110700102030000,4413110700,537000,44130
4413110700102060000,4413110700,801400,44130
4413110700102090000,4413110700,575300,44130
4413110700102160000,4413110700,520600,44130
4413110700102300000,4413110700,568600,44130
4413110700102610000,4413110700,1172000,44130
4413110700102650000,4413110700,622200,44130
4413110700102730000,4413110700,667100,44130
4413110700102750000,4413110700,503800,44130
4413110700102760000,4413110700,502400,44130
4413110700102800000,4413110700,583300,44130
4413110700102800000,4413110700,607300,44130
